1 44.6268
2 167.671
3 314.934
4 541.918
5 694.057
6 999.442
7 1100.06
8 1449.47
9 1501.74
10 1853.99
10 1853.99
11 1860.23
12 2213.82
12 2184.96
13 2177.57
14 2525.46
15 2356.69
16 2710.72
17 2672.59
18 2996.26
20 3559.03
21 3451.53
22 3788.08
24 4205.99
25 3967.78
27 4205.21
29 4333.4
31 4398.8
33 4833.7
35 4874.72
37 5443.87
40 6136.89
42 6359.67
45 5966.94
48 6872.18
51 6106.61
55 6645.61
58 7390.36
62 7497.59
66 7343.59
71 6351.59
75 6817.71
80 7757.03
86 7946.1
91 6521.52
97 6811.6
104 8070.7
111 7336.17
118 8290.63
126 8403.03
134 8535.85
143 7707.42
152 8708.12
162 8904.7
173 7557.61
184 8333.41
196 7529.93
209 6516.3
223 6469.84
237 6555.77
253 6452.74
269 6581.25
287 6537.87
306 7108.06
326 7124.25
347 6541.88
370 7184.49
394 7218.86
420 7275.86
448 7277.3
477 6788.64
508 6862.78
541 6819.33
577 6620.69
615 4902.02
655 3702.81
698 2962.05
744 2707.2
792 2663.64
844 2484.88
899 2445
958 2465.65
1021 2386.22
1088 2453.97
1159 2437.38
1235 2456.92
1316 2474.13
1402 2458.78
1494 2445.62
1591 2429.15
1695 2458.36
1806 2490.77
1925 2464.43
2051 2384.45
2185 2463.14
2328 2493.27
2480 2482.27
2642 2467.99
2815 2464.59
3000 2474.03
