1 108.083
2 203.916
3 305.874
4 407.831
5 509.789
6 554.595
7 634.099
8 722.943
9 813.311
10 824.189
11 889.401
12 951.72
14 1049.71
16 1156.11
18 1233.06
21 1350.1
24 1424.65
27 1554.5
31 1659.03
35 1749.21
40 1757.46
46 1916.18
52 1993.79
59 2075.28
68 1983.6
77 2090.57
87 2220.85
100 2276.78
113 2363.92
129 2444.52
146 2432.28
166 2508.4
189 2572.59
215 2672.51
244 2702.27
278 2781.05
316 2839.21
359 2908.02
408 2925.31
464 2975.46
527 3035.44
599 3068.5
681 3107.05
774 3122.6
879 3154.65
1000 3164.15
1136 3189.86
1291 3214.08
1467 3234.63
1668 3236.9
1895 3255.26
2154 3266.56
2448 3267.03
2782 3282.39
3162 3288.48
3593 2983.59
4084 3218.51
4641 3237.23
5275 3246.11
5994 3263.34
6812 3267.36
7742 3273.27
8799 3268.31
10000 3277.14
11364 3299.74
12915 3296.2
14677 3291.49
16681 3294.53
18957 2984.2
21544 3306.67
24484 3304.61
27825 3308.45
31622 3309.14
35938 3308.94
40842 3312.92
46415 3311.62
52750 3089.33
59948 3307.28
68129 3229.59
77426 3264.29
87992 3229.9
100000 3145.28
113646 3103.94
129154 2912.32
146780 2818.43
166810 2420.83
189573 2424.75
215443 2025.82
244844 1855.58
278256 1559.51
316228 1374.98
359381 1168.82
408423 1068.87
464159 948.611
527500 882.93
599484 846.71
681292 808.255
774265 781.615
879922 759.362
1000001 758.937
