1 671.212
2 1268.38
3 1787.76
4 2049.5
5 2252.52
6 2434.44
7 2536.27
8 2610.1
9 2672.94
10 2695.64
10 2695.64
11 2617.93
11 2606.56
12 2638.1
13 2462.34
14 2728.33
14 2728.33
15 2763.23
16 2781.35
17 2793.77
18 2809.39
20 2828.55
21 2866.39
22 2845.61
23 2860
25 2867.91
26 2860.49
28 2876.45
29 2882.26
31 2892.11
33 2891.82
35 2586.45
37 2890.49
40 2432.74
42 2584.47
44 2534.39
47 2466.24
50 2467.15
53 2491.74
56 2494.32
60 2503.61
63 2489.86
67 2466.52
71 2477.51
75 2485.06
80 2505.95
84 2504.48
89 2503.94
95 2501.7
100 2519.49
