1 0
2 0
3 60.414
4 121.629
5 195.492
6 283.762
7 370.459
8 454.955
9 562.287
10 651.055
10 651.055
11 776.524
12 863.391
12 863.391
13 976.506
14 1067.96
15 1173.95
16 1287.12
17 1402.14
18 1518.94
20 1734.62
21 1833.02
22 1954.45
24 2159.43
25 2203.12
27 2407.99
29 2591.32
31 2767.14
33 2917.69
35 3064.01
37 3227.26
40 3690.45
42 3868.53
45 3778.29
48 4306.98
51 4079.18
55 4331.99
58 4967.7
62 5224.37
66 5420.91
71 4992.02
75 5138.9
80 5990.89
86 6274.01
91 5643.08
97 5767.16
104 6693.34
111 6080.71
118 7231.47
126 7307.82
134 7354.5
143 6551.9
152 7455.28
162 7690.27
173 6773.95
184 7915.4
196 7932.16
209 6999.33
223 7200.45
237 7298.21
253 7456.69
269 7617.23
287 7774.96
306 8722.74
326 8863.58
347 8151.8
370 8786.89
394 8780.12
420 8830.46
448 8744.69
477 8307.04
508 8674.72
541 8367.88
577 8421.47
615 8443
655 8377.38
698 8721.26
744 8732.59
792 8752.61
844 8881.16
899 8651.4
958 8885.69
1021 8917.79
1088 9026.39
1159 8771.2
1235 8328.07
1316 7821.56
1402 6843.85
1494 6032.18
1591 5443.27
1695 5042.43
1806 4854.03
1925 4643
2051 3608.22
2185 4362.78
2328 4402.88
2480 4318.26
2642 4237.78
2815 4234.98
3000 4200.55
